Ticker,Date/Time,Open,High,Low,Close,Volume,OpenInt,OpenInt
LEAD,10/27/2022 09:50:00,100.00,100.00,99.00,100.00,906300,43622100,43622100
LEAD,10/27/2022 09:55:00,100.00,100.00,99.00,100.00,658600,50947400,50947400
LEAD,10/27/2022 10:00:00,100.00,100.00,99.00,100.00,341400,28170000,28170000
LEAD,10/27/2022 10:05:00,100.00,100.00,99.00,100.00,198900,14099100,14099100
LEAD,10/27/2022 10:10:00,100.00,100.00,99.00,100.00,332000,25797200,25797200
LEAD,10/27/2022 10:15:00,99.00,100.00,99.00,100.00,61700,-5312300,-5312300
LEAD,10/27/2022 10:20:00,100.00,100.00,99.00,99.00,328900,-22929500,-22929500
LEAD,10/27/2022 10:25:00,99.00,100.00,99.00,99.00,406100,-36223900,-36223900
LEAD,10/27/2022 10:30:00,99.00,100.00,99.00,100.00,222200,21961300,21961300
LFLO,10/27/2022 09:30:00,62.00,62.00,62.00,62.00,2100,130200,130200
LFLO,10/27/2022 09:40:00,62.00,62.00,62.00,62.00,3800,-235600,-235600
LIFE,10/27/2022 09:55:00,6175.00,6175.00,6175.00,6175.00,604100,-3730317568,-3730317568
LINK,10/27/2022 09:15:00,2860.00,2860.00,2860.00,2860.00,100,-286000,-286000
LINK,10/27/2022 09:25:00,2860.00,2860.00,2810.00,2810.00,6200,-13066000,-13066000
LINK,10/27/2022 09:30:00,2810.00,2860.00,2810.00,2860.00,3800,4629000,4629000
LINK,10/27/2022 09:35:00,2860.00,2900.00,2860.00,2900.00,1000,2868000,2868000
LINK,10/27/2022 09:45:00,2900.00,2900.00,2800.00,2800.00,6400,2016000,2016000
LINK,10/27/2022 09:50:00,2900.00,2900.00,2890.00,2890.00,300,-288000,-288000
LINK,10/27/2022 09:55:00,2890.00,2900.00,2850.00,2850.00,600,-1149000,-1149000
LINK,10/27/2022 10:05:00,2850.00,2850.00,2850.00,2850.00,2000,-5700000,-5700000
LINK,10/27/2022 10:10:00,2850.00,2850.00,2850.00,2850.00,100,285000,285000
LINK,10/27/2022 10:15:00,2850.00,2850.00,2850.00,2850.00,200,570000,570000
LINK,10/27/2022 10:30:00,2850.00,2850.00,2850.00,2850.00,100,285000,285000
LION,10/27/2022 09:05:00,400.00,400.00,400.00,400.00,1200,-480000,-480000
LION,10/27/2022 09:25:00,400.00,400.00,400.00,400.00,500,200000,200000
LION,10/27/2022 09:50:00,400.00,400.00,400.00,400.00,1000,400000,400000
LION,10/27/2022 10:25:00,400.00,400.00,400.00,400.00,4300,1720000,1720000
LMAS,7/29/2022 09:00:00,50.00,50.00,50.00,50.00,15000,750000,750000
LMAS,7/29/2022 09:05:00,50.00,50.00,50.00,50.00,1000,50000,50000
LMAS,7/29/2022 09:45:00,50.00,50.00,50.00,50.00,300,15000,15000
LMAS,7/29/2022 09:50:00,50.00,50.00,50.00,50.00,200,10000,10000
LMAS,7/29/2022 11:05:00,50.00,50.00,50.00,50.00,10000,500000,500000
LMAS,7/29/2022 14:10:00,50.00,50.00,50.00,50.00,100,5000,5000
LMPI,10/27/2022 09:25:00,140.00,140.00,140.00,140.00,25300,-3542000,-3542000
LMPI,10/27/2022 09:50:00,140.00,140.00,140.00,140.00,300,-42000,-42000
LMPI,10/27/2022 10:20:00,141.00,141.00,141.00,141.00,22500,2664900,2664900
LMSH,10/27/2022 09:00:00,675.00,715.00,675.00,710.00,800,152000,152000
LMSH,10/27/2022 09:05:00,710.00,745.00,710.00,745.00,300,216500,216500
LMSH,10/27/2022 09:15:00,740.00,740.00,740.00,740.00,200,148000,148000
LMSH,10/27/2022 10:00:00,700.00,700.00,700.00,700.00,100,70000,70000
LMSH,10/27/2022 10:05:00,700.00,710.00,700.00,710.00,300,211000,211000
LPCK,10/27/2022 09:00:00,1080.00,1080.00,1080.00,1080.00,1900,2052000,2052000
LPCK,10/27/2022 09:05:00,1080.00,1080.00,1080.00,1080.00,300,-324000,-324000
LPCK,10/27/2022 09:20:00,1080.00,1095.00,1080.00,1095.00,2300,-91500,-91500
LPCK,10/27/2022 09:25:00,1080.00,1095.00,1080.00,1095.00,800,-429000,-429000
LPCK,10/27/2022 09:35:00,1080.00,1080.00,1080.00,1080.00,200,-216000,-216000
LPCK,10/27/2022 09:40:00,1080.00,1080.00,1080.00,1080.00,200,-216000,-216000
LPCK,10/27/2022 09:45:00,1080.00,1080.00,1080.00,1080.00,10400,-11232000,-11232000
LPCK,10/27/2022 09:50:00,1075.00,1095.00,1075.00,1095.00,3600,-3653000,-3653000
LPCK,10/27/2022 10:00:00,1095.00,1095.00,1095.00,1095.00,100,109500,109500
LPCK,10/27/2022 10:25:00,1095.00,1095.00,1095.00,1095.00,5100,5584500,5584500
LPCK,10/27/2022 10:30:00,1095.00,1095.00,1080.00,1080.00,3000,-3044500,-3044500
LPGI,10/27/2022 09:10:00,5200.00,5375.00,5200.00,5375.00,200,1057500,1057500
LPGI,10/27/2022 09:20:00,5325.00,5325.00,5325.00,5325.00,100,532500,532500
LPGI,10/27/2022 09:40:00,5275.00,5275.00,5275.00,5275.00,100,527500,527500
LPIN,10/27/2022 09:00:00,402.00,402.00,402.00,402.00,100,-40200,-40200
LPIN,10/27/2022 09:05:00,404.00,404.00,404.00,404.00,100,40400,40400
